addf_v1v20g01y2_0p75: prefix is None, Family is addf, Infix is v1v20g01y2, and Drive is 0p75. 
USBSVT08_AOI21B_1: prefix is USBSVT08, Family is AOI21B, Infix is None, and Drive is 1. 
USBSVT08_AOI21B_Y2_2: prefix is USBSVT08, Family is AOI21B, Infix is Y2, and Drive is 2. 
USBSVT08_AOI21_2: prefix is USBSVT08, Family is AOI21, Infix is None, and Drive is 2. 
USBSVT08_AOI21_1: prefix is USBSVT08, Family is AOI21, Infix is None, and Drive is 1. 
USBSVT08_AOI21_3: prefix is USBSVT08, Family is AOI21, Infix is None, and Drive is 3. 
USBSVT08_AOI221_1: prefix is USBSVT08, Family is AOI221, Infix is None, and Drive is 1. 
USBSVT08_AOI221_2: prefix is USBSVT08, Family is AOI221, Infix is None, and Drive is 2. 
USBSVT08_AOI222_1: prefix is USBSVT08, Family is AOI222, Infix is None, and Drive is 1. 
USBSVT08_AOI222_2: prefix is USBSVT08, Family is AOI222, Infix is None, and Drive is 2. 
USBSVT08_AOI22_1: prefix is USBSVT08, Family is AOI22, Infix is None, and Drive is 1. 
USBSVT08_AOI22_Y2_2: prefix is USBSVT08, Family is AOI22, Infix is Y2, and Drive is 2. 
USBSVT08_AOI2BB2_2: prefix is USBSVT08, Family is AOI2BB2, Infix is None, and Drive is 2. 
USBSVT08_AOI31_1: prefix is USBSVT08, Family is AOI31, Infix is None, and Drive is 1. 
USBSVT08_AOI31_2: prefix is USBSVT08, Family is AOI31, Infix is None, and Drive is 2. 
USBSVT08_AOI32_1: prefix is USBSVT08, Family is AOI32, Infix is None, and Drive is 1. 
USBSVT08_AOI32_2: prefix is USBSVT08, Family is AOI32, Infix is None, and Drive is 2. 
USBSVT08_BUF_1: prefix is USBSVT08, Family is BUF, Infix is None, and Drive is 1. 
USBSVT08_BUF_N_3: prefix is USBSVT08, Family is BUF, Infix is N, and Drive is 3. 
USBSVT08_BUF_N_5: prefix is USBSVT08, Family is BUF, Infix is N, and Drive is 5. 
USBSVT08_BUF_10: prefix is USBSVT08, Family is BUF, Infix is None, and Drive is 10. 
USBSVT08_BUF_12: prefix is USBSVT08, Family is BUF, Infix is None, and Drive is 12. 
USBSVT08_BUF_14: prefix is USBSVT08, Family is BUF, Infix is None, and Drive is 14. 
USBSVT08_BUF_16: prefix is USBSVT08, Family is BUF, Infix is None, and Drive is 16. 
USBSVT08_BUF_2: prefix is USBSVT08, Family is BUF, Infix is None, and Drive is 2. 
USBSVT08_BUF_4: prefix is USBSVT08, Family is BUF, Infix is None, and Drive is 4. 
USBSVT08_BUF_6: prefix is USBSVT08, Family is BUF, Infix is None, and Drive is 6. 
USBSVT08_BUF_8: prefix is USBSVT08, Family is BUF, Infix is None, and Drive is 8. 
USBSVT08_BUF_MN_5: prefix is USBSVT08, Family is BUF, Infix is MN, and Drive is 5. 
USBSVT08_BUF_MN_8: prefix is USBSVT08, Family is BUF, Infix is MN, and Drive is 8. 
USBSVT08_BUF_Y2_20: prefix is USBSVT08, Family is BUF, Infix is Y2, and Drive is 20. 
USBSVT08_BUF_Y2_24: prefix is USBSVT08, Family is BUF, Infix is Y2, and Drive is 24. 
USBSVT08_BUF_M_12: prefix is USBSVT08, Family is BUF, Infix is M, and Drive is 12. 
USBSVT08_BUF_3: prefix is USBSVT08, Family is BUF, Infix is None, and Drive is 3. 
USBSVT08_BUF_M_6: prefix is USBSVT08, Family is BUF, Infix is M, and Drive is 6. 
USBSVT08_BUF_9: prefix is USBSVT08, Family is BUF, Infix is None, and Drive is 9. 
USBSVT08_BUF_D_16: prefix is USBSVT08, Family is BUF, Infix is D, and Drive is 16. 
USBSVT08_BUF_D_4: prefix is USBSVT08, Family is BUF, Infix is D, and Drive is 4. 
USBSVT08_BUF_D_8: prefix is USBSVT08, Family is BUF, Infix is D, and Drive is 8. 
USBSVT08_EN2_V2_1: prefix is USBSVT08, Family is EN2, Infix is V2, and Drive is 1. 
USBSVT08_EN2_V2Y2_2: prefix is USBSVT08, Family is EN2, Infix is V2Y2, and Drive is 2. 
USBSVT08_EN3_Y2_2: prefix is USBSVT08, Family is EN3, Infix is Y2, and Drive is 2. 
USBSVT08_EN3_Y2_3: prefix is USBSVT08, Family is EN3, Infix is Y2, and Drive is 3. 
USBSVT08_EO2_Y2_2: prefix is USBSVT08, Family is EO2, Infix is Y2, and Drive is 2. 
USBSVT08_EO2_V2_1: prefix is USBSVT08, Family is EO2, Infix is V2, and Drive is 1. 
USBSVT08_EO2_V2Y2_2: prefix is USBSVT08, Family is EO2, Infix is V2Y2, and Drive is 2. 
USBSVT08_EO2_V2Y2_3: prefix is USBSVT08, Family is EO2, Infix is V2Y2, and Drive is 3. 
USBSVT08_EO3_Y2_2: prefix is USBSVT08, Family is EO3, Infix is Y2, and Drive is 2. 
USBSVT08_EO3_Y2_3: prefix is USBSVT08, Family is EO3, Infix is Y2, and Drive is 3. 
USBSVT08_FDPCBQ_V2Y2_1: prefix is USBSVT08, Family is FDPCBQ, Infix is V2Y2, and Drive is 1. 
USBSVT08_FDPQ_V2Y2_1: prefix is USBSVT08, Family is FDPQ, Infix is V2Y2, and Drive is 1. 
USBSVT08_FDPRBSBQ_Y2_1: prefix is USBSVT08, Family is FDPRBSBQ, Infix is Y2, and Drive is 1. 
USBSVT08_FDPRBSBQ_Y2_2: prefix is USBSVT08, Family is FDPRBSBQ, Infix is Y2, and Drive is 2. 
USBSVT08_FDPRBSBQ_Y2_4: prefix is USBSVT08, Family is FDPRBSBQ, Infix is Y2, and Drive is 4. 
USBSVT08_FDP_V2Y2_1: prefix is USBSVT08, Family is FDP, Infix is V2Y2, and Drive is 1. 
USBSVT08_FILL16: prefix is USBSVT08, Family is FILL, Infix is None, and Drive is 6. 
USBSVT08_FILL32: prefix is USBSVT08, Family is FILL, Infix is None, and Drive is 2. 
USBSVT08_FILL4: prefix is USBSVT08, Family is FILL, Infix is None, and Drive is 4. 
USBSVT08_FILL64: prefix is USBSVT08, Family is FILL, Infix is None, and Drive is 4. 
USBSVT08_FILL8: prefix is USBSVT08, Family is FILL, Infix is None, and Drive is 8. 
USBSVT08_DCAP_V4_16: prefix is USBSVT08, Family is DCAP, Infix is V4, and Drive is 16. 
USBSVT08_DCAP_V4_6: prefix is USBSVT08, Family is DCAP, Infix is V4, and Drive is 6. 
USBSVT08_DCAP_V4_8: prefix is USBSVT08, Family is DCAP, Infix is V4, and Drive is 8. 
USBSVT08_TAPDS: prefix is USBSVT08, Family is TAPDS, Infix is None, and Drive is None. 
USBSVT08_FSDN_V2Y2_1: prefix is USBSVT08, Family is FSDN, Infix is V2Y2, and Drive is 1. 
USBSVT08_FSDPHQO_V2Y2_1: prefix is USBSVT08, Family is FSDPHQO, Infix is V2Y2, and Drive is 1. 
USBSVT08_FSDPHQO_V2Y2_2: prefix is USBSVT08, Family is FSDPHQO, Infix is V2Y2, and Drive is 2. 
USBSVT08_FSDPHRBQO_Y2_1: prefix is USBSVT08, Family is FSDPHRBQO, Infix is Y2, and Drive is 1. 
USBSVT08_FSDPHRBQO_Y2_2: prefix is USBSVT08, Family is FSDPHRBQO, Infix is Y2, and Drive is 2. 
USBSVT08_FSDPQB_V2Y2_1: prefix is USBSVT08, Family is FSDPQB, Infix is V2Y2, and Drive is 1. 
USBSVT08_FSDPQB_V2Y2_2: prefix is USBSVT08, Family is FSDPQB, Infix is V2Y2, and Drive is 2. 
USBSVT08_FSDPQ_Y2_1: prefix is USBSVT08, Family is FSDPQ, Infix is Y2, and Drive is 1. 
USBSVT08_FSDPQ_Y2_4: prefix is USBSVT08, Family is FSDPQ, Infix is Y2, and Drive is 4. 
USBSVT08_FSDPQ_DY2_1: prefix is USBSVT08, Family is FSDPQ, Infix is DY2, and Drive is 1. 
USBSVT08_FSDPQ_DY2_4: prefix is USBSVT08, Family is FSDPQ, Infix is DY2, and Drive is 4. 
USBSVT08_FSDPQMO_V2Y2_2: prefix is USBSVT08, Family is FSDPQMO, Infix is V2Y2, and Drive is 2. 
USBSVT08_FSDPQO_SU1Y2_2: prefix is USBSVT08, Family is FSDPQO, Infix is SU1Y2, and Drive is 2. 
USBSVT08_FSDPQO_SU2Y2_1: prefix is USBSVT08, Family is FSDPQO, Infix is SU2Y2, and Drive is 1. 
USBSVT08_FSDPQO_SU5Y2_2: prefix is USBSVT08, Family is FSDPQO, Infix is SU5Y2, and Drive is 2. 
USBSVT08_FSDPQO_SU6Y2_1: prefix is USBSVT08, Family is FSDPQO, Infix is SU6Y2, and Drive is 1. 
USBSVT08_FSDPQO_SU6Y2_2: prefix is USBSVT08, Family is FSDPQO, Infix is SU6Y2, and Drive is 2. 
USBSVT08_FSDPQO_Y2_2: prefix is USBSVT08, Family is FSDPQO, Infix is Y2, and Drive is 2. 
USBSVT08_FSDPQO_Y2_4: prefix is USBSVT08, Family is FSDPQO, Infix is Y2, and Drive is 4. 
USBSVT08_FSDPQO_Y2_6: prefix is USBSVT08, Family is FSDPQO, Infix is Y2, and Drive is 6. 
USBSVT08_FSDPQO_F4Y4_12: prefix is USBSVT08, Family is FSDPQO, Infix is F4Y4, and Drive is 12. 
USBSVT08_FSDPQO_F4Y4_2: prefix is USBSVT08, Family is FSDPQO, Infix is F4Y4, and Drive is 2. 
USBSVT08_FSDPQO_F4Y4_6: prefix is USBSVT08, Family is FSDPQO, Infix is F4Y4, and Drive is 6. 
USBSVT08_FSDPQO_V2FSU2Y2_2: prefix is USBSVT08, Family is FSDPQO, Infix is V2FSU2Y2, and Drive is 2. 
USBSVT08_FSDPQO_V2FSU3Y2_2: prefix is USBSVT08, Family is FSDPQO, Infix is V2FSU3Y2, and Drive is 2. 
USBSVT08_FSDPQO_V2FY2_2: prefix is USBSVT08, Family is FSDPQO, Infix is V2FY2, and Drive is 2. 
USBSVT08_FSDPQO_V2FY2_4: prefix is USBSVT08, Family is FSDPQO, Infix is V2FY2, and Drive is 4. 
USBSVT08_FSDPQO_V3Y2_4: prefix is USBSVT08, Family is FSDPQO, Infix is V3Y2, and Drive is 4. 
USBSVT08_FSDPQO_V3Y2_6: prefix is USBSVT08, Family is FSDPQO, Infix is V3Y2, and Drive is 6. 
USBSVT08_FSDPQ_V2Y2_1: prefix is USBSVT08, Family is FSDPQ, Infix is V2Y2, and Drive is 1. 
USBSVT08_FSDPQ_V2Y2_2: prefix is USBSVT08, Family is FSDPQ, Infix is V2Y2, and Drive is 2. 
USBSVT08_FSDPQ_V2Y2_4: prefix is USBSVT08, Family is FSDPQ, Infix is V2Y2, and Drive is 4. 
USBSVT08_FSDPRBQO_Y2_1: prefix is USBSVT08, Family is FSDPRBQO, Infix is Y2, and Drive is 1. 
USBSVT08_FSDPRBQO_Y2_2: prefix is USBSVT08, Family is FSDPRBQO, Infix is Y2, and Drive is 2. 
USBSVT08_FSDPRBQO_Y2_4: prefix is USBSVT08, Family is FSDPRBQO, Infix is Y2, and Drive is 4. 
USBSVT08_FSDPRBQO_Y2_6: prefix is USBSVT08, Family is FSDPRBQO, Infix is Y2, and Drive is 6. 
USBSVT08_FSDPRBQO_F4Y4_2: prefix is USBSVT08, Family is FSDPRBQO, Infix is F4Y4, and Drive is 2. 
USBSVT08_FSDPRBQO_V2SU1Y2_1: prefix is USBSVT08, Family is FSDPRBQO, Infix is V2SU1Y2, and Drive is 1. 
USBSVT08_FSDPRBQO_V2SU1Y2_2: prefix is USBSVT08, Family is FSDPRBQO, Infix is V2SU1Y2, and Drive is 2. 
USBSVT08_FSDPRBQO_V2SU3Y2_2: prefix is USBSVT08, Family is FSDPRBQO, Infix is V2SU3Y2, and Drive is 2. 
USBSVT08_FSDPRBQO_V3Y2_4: prefix is USBSVT08, Family is FSDPRBQO, Infix is V3Y2, and Drive is 4. 
USBSVT08_FSDPRBSBQ_V2Y2_1: prefix is USBSVT08, Family is FSDPRBSBQ, Infix is V2Y2, and Drive is 1. 
USBSVT08_FSDPRBSBQ_V2Y2_2: prefix is USBSVT08, Family is FSDPRBSBQ, Infix is V2Y2, and Drive is 2. 
USBSVT08_FSDPRBSBQ_V2Y2_4: prefix is USBSVT08, Family is FSDPRBSBQ, Infix is V2Y2, and Drive is 4. 
USBSVT08_FSDPSBQ_DY2_4: prefix is USBSVT08, Family is FSDPSBQ, Infix is DY2, and Drive is 4. 
USBSVT08_FSDPSBQO_V2MY2_1: prefix is USBSVT08, Family is FSDPSBQO, Infix is V2MY2, and Drive is 1. 
USBSVT08_FSDPSBQO_V2MY2_2: prefix is USBSVT08, Family is FSDPSBQO, Infix is V2MY2, and Drive is 2. 
USBSVT08_FSDPSBQO_V2Y2_1: prefix is USBSVT08, Family is FSDPSBQO, Infix is V2Y2, and Drive is 1. 
USBSVT08_FSDPSBQO_V2Y2_2: prefix is USBSVT08, Family is FSDPSBQO, Infix is V2Y2, and Drive is 2. 
USBSVT08_FSDPSYNRBQ_V2Y2_1: prefix is USBSVT08, Family is FSDPSYNRBQ, Infix is V2Y2, and Drive is 1. 
USBSVT08_INV_SKF_4: prefix is USBSVT08, Family is INV, Infix is SKF, and Drive is 4. 
USBSVT08_INV_SKR_4: prefix is USBSVT08, Family is INV, Infix is SKR, and Drive is 4. 
USBSVT08_INV_10: prefix is USBSVT08, Family is INV, Infix is None, and Drive is 10. 
USBSVT08_INV_12: prefix is USBSVT08, Family is INV, Infix is None, and Drive is 12. 
USBSVT08_INV_14: prefix is USBSVT08, Family is INV, Infix is None, and Drive is 14. 
USBSVT08_INV_16: prefix is USBSVT08, Family is INV, Infix is None, and Drive is 16. 
USBSVT08_INV_1: prefix is USBSVT08, Family is INV, Infix is None, and Drive is 1. 
USBSVT08_INV_2: prefix is USBSVT08, Family is INV, Infix is None, and Drive is 2. 
USBSVT08_INV_3: prefix is USBSVT08, Family is INV, Infix is None, and Drive is 3. 
USBSVT08_INV_4: prefix is USBSVT08, Family is INV, Infix is None, and Drive is 4. 
USBSVT08_INV_5: prefix is USBSVT08, Family is INV, Infix is None, and Drive is 5. 
USBSVT08_INV_6: prefix is USBSVT08, Family is INV, Infix is None, and Drive is 6. 
USBSVT08_INV_7: prefix is USBSVT08, Family is INV, Infix is None, and Drive is 7. 
USBSVT08_INV_8: prefix is USBSVT08, Family is INV, Infix is None, and Drive is 8. 
USBSVT08_INV_9: prefix is USBSVT08, Family is INV, Infix is None, and Drive is 9. 
USBSVT08_LDAO21NQ_V2Y2_1: prefix is USBSVT08, Family is LDAO21NQ, Infix is V2Y2, and Drive is 1. 
USBSVT08_LDNQOR2_Y2_2: prefix is USBSVT08, Family is LDNQOR2, Infix is Y2, and Drive is 2. 
USBSVT08_LDNQOR2_Y2_4: prefix is USBSVT08, Family is LDNQOR2, Infix is Y2, and Drive is 4. 
USBSVT08_MAJ3_Y2_1: prefix is USBSVT08, Family is MAJ3, Infix is Y2, and Drive is 1. 
USBSVT08_MAJ3_Y2_2: prefix is USBSVT08, Family is MAJ3, Infix is Y2, and Drive is 2. 
USBSVT08_MAJI3_Y2_2: prefix is USBSVT08, Family is MAJI3, Infix is Y2, and Drive is 2. 
USBSVT08_MAJI3_Y2_1: prefix is USBSVT08, Family is MAJI3, Infix is Y2, and Drive is 1. 
USBSVT08_MUX2_Y2_1: prefix is USBSVT08, Family is MUX2, Infix is Y2, and Drive is 1. 
USBSVT08_MUX2_Y2_4: prefix is USBSVT08, Family is MUX2, Infix is Y2, and Drive is 4. 
USBSVT08_MUX2_Y2_6: prefix is USBSVT08, Family is MUX2, Infix is Y2, and Drive is 6. 
USBSVT08_MUX2_Y2_8: prefix is USBSVT08, Family is MUX2, Infix is Y2, and Drive is 8. 
USBSVT08_MUXI2_Y2_2: prefix is USBSVT08, Family is MUXI2, Infix is Y2, and Drive is 2. 
USBSVT08_MUXI2_Y2_1: prefix is USBSVT08, Family is MUXI2, Infix is Y2, and Drive is 1. 
USBSVT08_ND2B_V1_1: prefix is USBSVT08, Family is ND2B, Infix is V1, and Drive is 1. 
USBSVT08_ND2B_3: prefix is USBSVT08, Family is ND2B, Infix is None, and Drive is 3. 
USBSVT08_ND2_SKF_4: prefix is USBSVT08, Family is ND2, Infix is SKF, and Drive is 4. 
USBSVT08_ND2_SKR_4: prefix is USBSVT08, Family is ND2, Infix is SKR, and Drive is 4. 
USBSVT08_ND2_1: prefix is USBSVT08, Family is ND2, Infix is None, and Drive is 1. 
USBSVT08_ND2_2: prefix is USBSVT08, Family is ND2, Infix is None, and Drive is 2. 
USBSVT08_ND2_3: prefix is USBSVT08, Family is ND2, Infix is None, and Drive is 3. 
USBSVT08_ND2_4: prefix is USBSVT08, Family is ND2, Infix is None, and Drive is 4. 
USBSVT08_ND2_5: prefix is USBSVT08, Family is ND2, Infix is None, and Drive is 5. 
USBSVT08_ND2_6: prefix is USBSVT08, Family is ND2, Infix is None, and Drive is 6. 
USBSVT08_ND2_8: prefix is USBSVT08, Family is ND2, Infix is None, and Drive is 8. 
USBSVT08_ND2XB_2: prefix is USBSVT08, Family is ND2XB, Infix is None, and Drive is 2. 
USBSVT08_ND2XB_4: prefix is USBSVT08, Family is ND2XB, Infix is None, and Drive is 4. 
USBSVT08_ND3B_1: prefix is USBSVT08, Family is ND3B, Infix is None, and Drive is 1. 
USBSVT08_ND3_1: prefix is USBSVT08, Family is ND3, Infix is None, and Drive is 1. 
USBSVT08_ND3_1P66: prefix is USBSVT08, Family is ND3, Infix is None, and Drive is 1P66. 
USBSVT08_ND3_2: prefix is USBSVT08, Family is ND3, Infix is None, and Drive is 2. 
USBSVT08_ND3_3: prefix is USBSVT08, Family is ND3, Infix is None, and Drive is 3. 
USBSVT08_ND3_4: prefix is USBSVT08, Family is ND3, Infix is None, and Drive is 4. 
USBSVT08_ND3_6: prefix is USBSVT08, Family is ND3, Infix is None, and Drive is 6. 
USBSVT08_ND4B_Y2_2: prefix is USBSVT08, Family is ND4B, Infix is Y2, and Drive is 2. 
USBSVT08_ND4B_Y2_4: prefix is USBSVT08, Family is ND4B, Infix is Y2, and Drive is 4. 
USBSVT08_ND4_2: prefix is USBSVT08, Family is ND4, Infix is None, and Drive is 2. 
USBSVT08_ND4_3: prefix is USBSVT08, Family is ND4, Infix is None, and Drive is 3. 
USBSVT08_ND4_4: prefix is USBSVT08, Family is ND4, Infix is None, and Drive is 4. 
USBSVT08_ND4_Y2_7: prefix is USBSVT08, Family is ND4, Infix is Y2, and Drive is 7. 
USBSVT08_ND4_1: prefix is USBSVT08, Family is ND4, Infix is None, and Drive is 1. 
USBSVT08_NR2B_V1_3: prefix is USBSVT08, Family is NR2B, Infix is V1, and Drive is 3. 
USBSVT08_NR2B_V1_1: prefix is USBSVT08, Family is NR2B, Infix is V1, and Drive is 1. 
USBSVT08_NR2_SKF_4: prefix is USBSVT08, Family is NR2, Infix is SKF, and Drive is 4. 
USBSVT08_NR2_SKR_4: prefix is USBSVT08, Family is NR2, Infix is SKR, and Drive is 4. 
USBSVT08_NR2_1: prefix is USBSVT08, Family is NR2, Infix is None, and Drive is 1. 
USBSVT08_NR2_2: prefix is USBSVT08, Family is NR2, Infix is None, and Drive is 2. 
USBSVT08_NR2_3: prefix is USBSVT08, Family is NR2, Infix is None, and Drive is 3. 
USBSVT08_NR2_4: prefix is USBSVT08, Family is NR2, Infix is None, and Drive is 4. 
USBSVT08_NR2_6: prefix is USBSVT08, Family is NR2, Infix is None, and Drive is 6. 
USBSVT08_NR2XB_1: prefix is USBSVT08, Family is NR2XB, Infix is None, and Drive is 1. 
USBSVT08_NR2XB_2: prefix is USBSVT08, Family is NR2XB, Infix is None, and Drive is 2. 
USBSVT08_NR3B_4: prefix is USBSVT08, Family is NR3B, Infix is None, and Drive is 4. 
USBSVT08_NR3_1: prefix is USBSVT08, Family is NR3, Infix is None, and Drive is 1. 
USBSVT08_NR3_2: prefix is USBSVT08, Family is NR3, Infix is None, and Drive is 2. 
USBSVT08_NR3_3: prefix is USBSVT08, Family is NR3, Infix is None, and Drive is 3. 
USBSVT08_NR4B_Y2_2: prefix is USBSVT08, Family is NR4B, Infix is Y2, and Drive is 2. 
USBSVT08_NR4_2: prefix is USBSVT08, Family is NR4, Infix is None, and Drive is 2. 
USBSVT08_NR4_3: prefix is USBSVT08, Family is NR4, Infix is None, and Drive is 3. 
USBSVT08_NR4_4: prefix is USBSVT08, Family is NR4, Infix is None, and Drive is 4. 
USBSVT08_NR4_5: prefix is USBSVT08, Family is NR4, Infix is None, and Drive is 5. 
USBSVT08_NR4_6: prefix is USBSVT08, Family is NR4, Infix is None, and Drive is 6. 
USBSVT08_NR4_Y2_8: prefix is USBSVT08, Family is NR4, Infix is Y2, and Drive is 8. 
USBSVT08_NR4_1: prefix is USBSVT08, Family is NR4, Infix is None, and Drive is 1. 
USBSVT08_OA211_2: prefix is USBSVT08, Family is OA211, Infix is None, and Drive is 2. 
USBSVT08_OA211_Y2_4: prefix is USBSVT08, Family is OA211, Infix is Y2, and Drive is 4. 
USBSVT08_OA21B_2: prefix is USBSVT08, Family is OA21B, Infix is None, and Drive is 2. 
USBSVT08_OA21_2: prefix is USBSVT08, Family is OA21, Infix is None, and Drive is 2. 
USBSVT08_OA2BB2_2: prefix is USBSVT08, Family is OA2BB2, Infix is None, and Drive is 2. 
USBSVT08_OA31_2: prefix is USBSVT08, Family is OA31, Infix is None, and Drive is 2. 
USBSVT08_OAI2111_1: prefix is USBSVT08, Family is OAI2111, Infix is None, and Drive is 1. 
USBSVT08_OAI211_2: prefix is USBSVT08, Family is OAI211, Infix is None, and Drive is 2. 
USBSVT08_OAI211_Y2_4: prefix is USBSVT08, Family is OAI211, Infix is Y2, and Drive is 4. 
USBSVT08_OAI211_1: prefix is USBSVT08, Family is OAI211, Infix is None, and Drive is 1. 
USBSVT08_OAI21_2: prefix is USBSVT08, Family is OAI21, Infix is None, and Drive is 2. 
USBSVT08_OAI21_1: prefix is USBSVT08, Family is OAI21, Infix is None, and Drive is 1. 
USBSVT08_OAI21_3: prefix is USBSVT08, Family is OAI21, Infix is None, and Drive is 3. 
USBSVT08_OAI21_4: prefix is USBSVT08, Family is OAI21, Infix is None, and Drive is 4. 
USBSVT08_OAI221_2: prefix is USBSVT08, Family is OAI221, Infix is None, and Drive is 2. 
USBSVT08_OAI221_1: prefix is USBSVT08, Family is OAI221, Infix is None, and Drive is 1. 
USBSVT08_OAI222_1: prefix is USBSVT08, Family is OAI222, Infix is None, and Drive is 1. 
USBSVT08_OAI222_2: prefix is USBSVT08, Family is OAI222, Infix is None, and Drive is 2. 
USBSVT08_OAI222_Y2_4: prefix is USBSVT08, Family is OAI222, Infix is Y2, and Drive is 4. 
USBSVT08_OAI22_Y2_3: prefix is USBSVT08, Family is OAI22, Infix is Y2, and Drive is 3. 
USBSVT08_OAI22_1: prefix is USBSVT08, Family is OAI22, Infix is None, and Drive is 1. 
USBSVT08_OAI22_Y2_2: prefix is USBSVT08, Family is OAI22, Infix is Y2, and Drive is 2. 
USBSVT08_OAI2BB2_1: prefix is USBSVT08, Family is OAI2BB2, Infix is None, and Drive is 1. 
USBSVT08_OAI2BB2_2: prefix is USBSVT08, Family is OAI2BB2, Infix is None, and Drive is 2. 
USBSVT08_OAI31_1: prefix is USBSVT08, Family is OAI31, Infix is None, and Drive is 1. 
USBSVT08_OAI31_2: prefix is USBSVT08, Family is OAI31, Infix is None, and Drive is 2. 
USBSVT08_OAI31_4: prefix is USBSVT08, Family is OAI31, Infix is None, and Drive is 4. 
USBSVT08_OAI32_1: prefix is USBSVT08, Family is OAI32, Infix is None, and Drive is 1. 
USBSVT08_OAO211_2: prefix is USBSVT08, Family is OAO211, Infix is None, and Drive is 2. 
USBSVT08_OAOI211_2: prefix is USBSVT08, Family is OAOI211, Infix is None, and Drive is 2. 
USBSVT08_OAOI211_1: prefix is USBSVT08, Family is OAOI211, Infix is None, and Drive is 1. 
USBSVT08_OAOI211_V1_1: prefix is USBSVT08, Family is OAOI211, Infix is V1, and Drive is 1. 
USBSVT08_OR2_1: prefix is USBSVT08, Family is OR2, Infix is None, and Drive is 1. 
USBSVT08_OR2_2: prefix is USBSVT08, Family is OR2, Infix is None, and Drive is 2. 
USBSVT08_OR2_4: prefix is USBSVT08, Family is OR2, Infix is None, and Drive is 4. 
USBSVT08_OR2_6: prefix is USBSVT08, Family is OR2, Infix is None, and Drive is 6. 
USBSVT08_OR2_8: prefix is USBSVT08, Family is OR2, Infix is None, and Drive is 8. 
USBSVT08_OR2_3: prefix is USBSVT08, Family is OR2, Infix is None, and Drive is 3. 
USBSVT08_OR2_D_4: prefix is USBSVT08, Family is OR2, Infix is D, and Drive is 4. 
USBSVT08_OR3B_4: prefix is USBSVT08, Family is OR3B, Infix is None, and Drive is 4. 
USBSVT08_OR3B_1: prefix is USBSVT08, Family is OR3B, Infix is None, and Drive is 1. 
USBSVT08_OR3B_2: prefix is USBSVT08, Family is OR3B, Infix is None, and Drive is 2. 
USBSVT08_OR3_2: prefix is USBSVT08, Family is OR3, Infix is None, and Drive is 2. 
USBSVT08_OR3_4: prefix is USBSVT08, Family is OR3, Infix is None, and Drive is 4. 
USBSVT08_OR4B_4: prefix is USBSVT08, Family is OR4B, Infix is None, and Drive is 4. 
USBSVT08_OR4B_2: prefix is USBSVT08, Family is OR4B, Infix is None, and Drive is 2. 
USBSVT08_TIE0_1: prefix is USBSVT08, Family is TIE0, Infix is None, and Drive is 1. 
USBSVT08_TIE0_V1_2: prefix is USBSVT08, Family is TIE0, Infix is V1, and Drive is 2. 
USBSVT08_TIE1_1: prefix is USBSVT08, Family is TIE1, Infix is None, and Drive is 1. 
USBSVT08_TIE1_V1_2: prefix is USBSVT08, Family is TIE1, Infix is V1, and Drive is 2. 
USBSVT08_TIEDIN_4: prefix is USBSVT08, Family is TIEDIN, Infix is None, and Drive is 4. 
USBSVT08_AO22_Y2_4: prefix is USBSVT08, Family is AO22, Infix is Y2, and Drive is 4. 
USBSVT08_AO22_MNY2_6: prefix is USBSVT08, Family is AO22, Infix is MNY2, and Drive is 6. 
USBSVT08_AOI22_Y2_3: prefix is USBSVT08, Family is AOI22, Infix is Y2, and Drive is 3. 
USBSVT08_AOI22_Y2_4: prefix is USBSVT08, Family is AOI22, Infix is Y2, and Drive is 4. 
USBSVT08_AOI22_Y2_6: prefix is USBSVT08, Family is AOI22, Infix is Y2, and Drive is 6. 
USBSVT08_DEL_R2V1_1: prefix is USBSVT08, Family is DEL, Infix is R2V1, and Drive is 1. 
USBSVT08_DEL_R2V1_2: prefix is USBSVT08, Family is DEL, Infix is R2V1, and Drive is 2. 
USBSVT08_DEL_R2V2_1: prefix is USBSVT08, Family is DEL, Infix is R2V2, and Drive is 1. 
USBSVT08_DEL_R2V3_1: prefix is USBSVT08, Family is DEL, Infix is R2V3, and Drive is 1. 
USBSVT08_FSDPQO_DY2_1: prefix is USBSVT08, Family is FSDPQO, Infix is DY2, and Drive is 1. 
USBSVT08_FSDPRBQO_DY2_1: prefix is USBSVT08, Family is FSDPRBQO, Infix is DY2, and Drive is 1. 
USBSVT08_FSDPRBQO_DY2_2: prefix is USBSVT08, Family is FSDPRBQO, Infix is DY2, and Drive is 2. 
USBSVT08_LDNQ_V2Y2_1: prefix is USBSVT08, Family is LDNQ, Infix is V2Y2, and Drive is 1. 
USBSVT08_LDPQ_V2Y2_1: prefix is USBSVT08, Family is LDPQ, Infix is V2Y2, and Drive is 1. 
USBSVT08_MUX2AN2_Y2_1: prefix is USBSVT08, Family is MUX2AN2, Infix is Y2, and Drive is 1. 
USBSVT08_MUXI2_G_0P75: prefix is USBSVT08, Family is MUXI2, Infix is G, and Drive is 0P75. 
USBSVT08_NR3B_G_2: prefix is USBSVT08, Family is NR3B, Infix is G, and Drive is 2. 
USBSVT08_MUXI2_GY2_1: prefix is USBSVT08, Family is MUXI2, Infix is GY2, and Drive is 1. 
